InvoiceDate,Orders,Revenue
2011-09-11,75,35511.67
2011-09-12,68,29738.33
2011-09-13,67,55117.05
2011-09-14,68,23592.98
2011-09-15,83,78218.95
2011-09-16,50,27724.22
2011-09-18,27,15745.73
2011-09-19,71,49269.88
2011-09-20,70,109612.03
2011-09-21,75,48560.68
2011-09-22,112,59354.79
2011-09-23,64,40601.75
2011-09-25,75,31372.661
2011-09-26,66,29335.171
2011-09-27,80,36322.95
2011-09-28,85,43749.06
2011-09-29,105,46401.45
2011-09-30,74,44357.06
2011-10-02,35,11634.53
2011-10-03,68,66376.82
2011-10-04,81,48810.65
2011-10-05,96,75593.63
2011-10-06,122,62891.19
2011-10-07,88,53790.7
2011-10-09,39,12524.4
2011-10-10,100,48239.18
2011-10-11,82,52572.94
2011-10-12,88,32159.28
2011-10-13,77,37446.18
2011-10-14,74,36347.64
2011-10-16,35,22010.96
2011-10-17,89,52062.2
2011-10-18,84,45332.16
2011-10-19,85,42573.36
2011-10-20,89,61122.9
2011-10-21,64,63226.64
2011-10-23,42,12339.16
2011-10-24,78,48752.91
2011-10-25,77,41314.64
2011-10-26,95,38059.43
2011-10-27,106,57291.72
2011-10-28,78,40565.7
2011-10-30,96,34571.23
2011-10-31,72,57369.15
2011-11-01,77,29155.15
2011-11-02,85,45888.34
2011-11-03,103,63561.49
2011-11-04,94,62977.36
2011-11-06,102,42946.340000000004
2011-11-07,93,85881.81
2011-11-08,108,57700.24
2011-11-09,119,66127.57
2011-11-10,129,71008.26
2011-11-11,105,55257.17
2011-11-13,87,34069.92
2011-11-14,107,114419.89
2011-11-15,108,60807.29
2011-11-16,130,65958.17
2011-11-17,137,61103.13
2011-11-18,108,51275.39
2011-11-20,100,35058.57
2011-11-21,100,49805.72
2011-11-22,135,64089.82
2011-11-23,131,80104.18
2011-11-24,113,50978.63
2011-11-25,83,50822.73
2011-11-27,57,20611.08
2011-11-28,115,57165.19
2011-11-29,135,72595.93
2011-11-30,108,60126.96
2011-12-01,121,52197.25
2011-12-02,120,57664.07
2011-12-04,66,24621.43
2011-12-05,127,88741.96
2011-12-06,115,56713.21
2011-12-07,106,75439.16
2011-12-08,120,82495.0
2011-12-09,44,200920.6
